,tr_loss,val_loss
6,0.24694804322719574,0.24649815559387206
7,0.24610406267642976,0.24564415335655213
8,0.24524393606185912,0.24477035188674925
9,0.2443607974052429,0.24386992394924165
10,0.24344764375686645,0.24293564248085023
11,0.2424976316690445,0.24196100986003877
12,0.24150425028800965,0.24093941414356232
13,0.2404605747461319,0.2398637672662735
14,0.23935978937149047,0.2387275253534317
15,0.2381952521800995,0.23752337670326232
16,0.23695962858200073,0.23624446260929108
17,0.2356460372209549,0.23488403367996216
18,0.23424774193763734,0.23343480014801024
19,0.23275795423984527,0.2318904058933258
20,0.23116997730731964,0.23024479031562806
21,0.229478014588356,0.22849204230308534
22,0.2276758359670639,0.2266261661052704
23,0.22575818395614625,0.22464235675334931
24,0.22372027266025543,0.2225351345539093
25,0.2215581192970276,0.2203016780614853
26,0.21926846849918366,0.21793921566009522
27,0.21684925878047942,0.21544614505767823
28,0.21429966819286347,0.21282236003875732
29,0.21162017524242402,0.2100697374343872
30,0.20881330835819245,0.20719097208976744
31,0.20588230681419373,0.2041905381679535
32,0.20283272099494934,0.20107505774497986
33,0.19967165434360504,0.1978522696495056
34,0.19640799379348756,0.19453252720832825
35,0.1930526636838913,0.19112660360336303
36,0.1896179460287094,0.18764824199676514
37,0.1861178379058838,0.1841119978427887
38,0.18256706833839417,0.18053329539299012
39,0.17898179090023042,0.1769294378757477
40,0.17537912225723268,0.17331734561920167
41,0.17177652156352996,0.16971485805511474
42,0.16819134676456451,0.16613883280754088
43,0.1646405280828476,0.16260598421096803
44,0.1611403911113739,0.15913262259960176
45,0.15770699143409728,0.1557339366674423
46,0.15435420441627504,0.15242276501655577
47,0.1510945962667465,0.14921112632751465
48,0.1479386340379715,0.1461082546710968
49,0.14489540541172027,0.14312292277812957
50,0.14197212982177734,0.14026081323623657
51,0.1391738748550415,0.1375260272026062
52,0.13650395834445953,0.1349213421344757
53,0.13396433877944947,0.13244756197929383
54,0.13155465304851532,0.1301036093235016
55,0.12927375650405884,0.12788775664567947
56,0.12711924988031387,0.125796999335289
57,0.12508765798807145,0.1238274901509285
58,0.12317484921216965,0.12197440302371979
59,0.12137610864639282,0.12023340445756912
60,0.11968656069040298,0.1185989042520523
61,0.11810070449113846,0.11706526017189026
62,0.11661280602216721,0.11562683862447738
63,0.11521736788749695,0.11427804124355316
64,0.11390893012285233,0.11301369696855545
65,0.11268220126628875,0.11182826536893845
