,0
0,0.2842232142857143
1,0.22932270408163263
2,0.21288073979591837
3,0.1963813775510204
4,0.1915204081632653
5,0.18784311224489797
6,0.18467665816326528
7,0.1821766581632653
8,0.1796109693877551
9,0.17699234693877552
10,0.17454910714285712
11,0.1723545918367347
12,0.16962244897959186
13,0.16727742346938776
14,0.16527678571428572
15,0.16223596938775509
16,0.16039030612244898
17,0.1575765306122449
18,0.15586288265306122
19,0.15393494897959184
